epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,3694.12,0.74125,0.40063,1.03562,1,0.97436,0.98942,0.83364,0.79265,0.39189,0.95714,0.00591625,0.00591625,0.00591625
101,3732.55,0.74501,0.39671,1.03636,1,0.97139,0.99004,0.83677,0.79515,0.38568,0.96222,0.005875,0.005875,0.005875
102,3768.19,0.74414,0.40275,1.02782,0.99963,0.97475,0.98681,0.83463,0.79116,0.38617,0.96384,0.00583375,0.00583375,0.00583375
103,3803.75,0.72892,0.40133,1.02313,0.99817,0.9697,0.98531,0.83266,0.81023,0.40599,0.97427,0.0057925,0.0057925,0.0057925
104,3839.02,0.73814,0.39674,1.02379,0.98781,0.97475,0.98657,0.8281,0.79396,0.39215,0.96458,0.00575125,0.00575125,0.00575125
105,3875.87,0.73309,0.39583,1.01668,0.99482,0.96933,0.98607,0.82806,0.81517,0.4243,0.97611,0.00571,0.00571,0.00571
106,3912.56,0.73233,0.39955,1.02142,0.99923,0.9697,0.9866,0.82883,0.79384,0.38547,0.96573,0.00566875,0.00566875,0.00566875
107,3948.77,0.72983,0.39417,1.02673,0.99482,0.96909,0.98481,0.83291,0.79152,0.38983,0.96653,0.0056275,0.0056275,0.0056275
108,3985.85,0.72939,0.39791,1.02587,0.9943,0.96465,0.97926,0.82955,0.79854,0.40549,0.97707,0.00558625,0.00558625,0.00558625
109,4022.08,0.7241,0.39459,1.0161,0.99892,0.96465,0.98174,0.83193,0.78206,0.38479,0.95922,0.005545,0.005545,0.005545
110,4057.19,0.73331,0.39497,1.02753,0.99421,0.96465,0.98246,0.82764,0.79648,0.37904,0.96551,0.00550375,0.00550375,0.00550375
111,4095.05,0.72596,0.39495,1.02226,0.99425,0.96465,0.98283,0.83151,0.79866,0.38006,0.9655,0.0054625,0.0054625,0.0054625
112,4131.45,0.72791,0.38685,1.02181,0.99481,0.969,0.98528,0.83208,0.80398,0.37331,0.97432,0.00542125,0.00542125,0.00542125
113,4167.25,0.72521,0.39233,1.02407,0.99426,0.9697,0.98867,0.83493,0.79651,0.35176,0.97572,0.00538,0.00538,0.00538
114,4203.21,0.72656,0.39156,1.0209,0.99434,0.9697,0.98843,0.83182,0.80046,0.34938,0.97475,0.00533875,0.00533875,0.00533875
115,4239.32,0.71941,0.38499,1.01583,0.99425,0.9697,0.98989,0.83744,0.79555,0.34463,0.96546,0.0052975,0.0052975,0.0052975
116,4275.94,0.70861,0.38626,1.0128,0.99399,0.9697,0.99164,0.83746,0.7933,0.34703,0.96079,0.00525625,0.00525625,0.00525625
117,4312.58,0.71132,0.39303,1.02008,0.99482,0.96958,0.99146,0.84084,0.78653,0.34098,0.95716,0.005215,0.005215,0.005215
118,4350.36,0.70985,0.38319,1.01625,0.99265,0.97475,0.99085,0.84221,0.77952,0.34779,0.9512,0.00517375,0.00517375,0.00517375
119,4385.68,0.70848,0.37993,1.01777,0.99487,0.9697,0.99028,0.8428,0.78013,0.35458,0.95217,0.0051325,0.0051325,0.0051325
120,4422.57,0.70445,0.38366,1.01396,0.99484,0.97355,0.98998,0.84128,0.78233,0.35355,0.95737,0.00509125,0.00509125,0.00509125
121,4458.71,0.71345,0.38438,1.02076,0.99414,0.97475,0.99025,0.83954,0.778,0.33667,0.95574,0.00505,0.00505,0.00505
122,4494.21,0.70425,0.3805,1.00408,0.99949,0.9697,0.99041,0.83704,0.77634,0.33852,0.95473,0.00500875,0.00500875,0.00500875
123,4530.56,0.69565,0.3781,1.00278,0.99482,0.96957,0.98978,0.83527,0.77313,0.33689,0.95394,0.0049675,0.0049675,0.0049675
124,4567.42,0.70875,0.38192,1.01577,0.99432,0.9697,0.99009,0.837,0.77352,0.32736,0.95268,0.00492625,0.00492625,0.00492625
125,4604.08,0.70464,0.37874,1.00476,0.98911,0.9697,0.99006,0.83953,0.76838,0.33053,0.95229,0.004885,0.004885,0.004885
126,4641.59,0.69745,0.3805,1.00866,1,0.96895,0.99186,0.8425,0.77019,0.31945,0.95555,0.00484375,0.00484375,0.00484375
127,4679.36,0.70395,0.37636,1.00496,0.99407,0.9697,0.99212,0.84313,0.77122,0.32314,0.95746,0.0048025,0.0048025,0.0048025
128,4714.31,0.70088,0.37609,1.01109,0.99919,0.9697,0.99157,0.84397,0.77859,0.31811,0.96322,0.00476125,0.00476125,0.00476125
129,4751.39,0.68913,0.36988,0.99645,0.99943,0.9697,0.99034,0.84028,0.78144,0.31489,0.96463,0.00472,0.00472,0.00472
130,4788.9,0.68771,0.36943,1.00025,0.99908,0.9697,0.98861,0.83801,0.78594,0.32189,0.96514,0.00467875,0.00467875,0.00467875
131,4826.75,0.68335,0.36513,1.00104,0.99932,0.9697,0.98972,0.83812,0.78732,0.32331,0.96559,0.0046375,0.0046375,0.0046375
132,4864.56,0.69188,0.37293,1.00569,0.99905,0.9697,0.98987,0.83776,0.79193,0.3274,0.96726,0.00459625,0.00459625,0.00459625
133,4901.89,0.67765,0.36631,0.99308,0.99307,0.9697,0.98946,0.83945,0.79086,0.34007,0.96663,0.004555,0.004555,0.004555
134,4936.72,0.67955,0.36632,0.99959,0.99424,0.9697,0.98592,0.83624,0.78924,0.35142,0.96618,0.00451375,0.00451375,0.00451375
135,4972.91,0.6699,0.36455,0.99432,0.99481,0.9697,0.98639,0.83602,0.78619,0.35003,0.96535,0.0044725,0.0044725,0.0044725
136,5008.66,0.67671,0.36428,0.99311,0.99481,0.96889,0.98942,0.83861,0.78724,0.35001,0.96587,0.00443125,0.00443125,0.00443125
137,5044.92,0.68396,0.36798,1.0033,0.99481,0.96802,0.99084,0.83971,0.7912,0.34654,0.96626,0.00439,0.00439,0.00439
138,5081.2,0.67372,0.36021,0.99413,0.99479,0.96427,0.99161,0.84129,0.79189,0.34393,0.96655,0.00434875,0.00434875,0.00434875
139,5117.7,0.67897,0.36265,0.99938,0.99479,0.96438,0.99148,0.84211,0.79186,0.33748,0.96829,0.0043075,0.0043075,0.0043075
140,5153.78,0.66843,0.35665,0.98734,0.99481,0.969,0.99178,0.84021,0.79753,0.33398,0.97564,0.00426625,0.00426625,0.00426625
141,5191.42,0.67922,0.36304,0.99787,0.99481,0.96887,0.99185,0.84135,0.79572,0.33454,0.97661,0.004225,0.004225,0.004225
142,5228.07,0.67898,0.36578,0.99829,0.99481,0.9686,0.99221,0.84079,0.79579,0.33339,0.97771,0.00418375,0.00418375,0.00418375
143,5264.38,0.66814,0.35807,0.99375,0.99481,0.9689,0.99157,0.84217,0.79544,0.33605,0.97822,0.0041425,0.0041425,0.0041425
144,5299.91,0.67613,0.36643,0.99508,0.99481,0.96895,0.99181,0.84281,0.79445,0.3282,0.97639,0.00410125,0.00410125,0.00410125
145,5335.84,0.66097,0.35548,0.97997,0.99482,0.96969,0.99161,0.84354,0.79359,0.32737,0.97531,0.00406,0.00406,0.00406
146,5371.93,0.65805,0.35437,0.9814,0.99484,0.97297,0.99082,0.84124,0.79479,0.32974,0.97472,0.00401875,0.00401875,0.00401875
147,5407.12,0.67496,0.3679,0.99195,0.98974,0.9747,0.99109,0.83875,0.79997,0.33447,0.9786,0.0039775,0.0039775,0.0039775
148,5443.64,0.66663,0.35315,0.98084,0.99484,0.97328,0.99119,0.83928,0.8021,0.3351,0.97906,0.00393625,0.00393625,0.00393625
149,5479.81,0.66007,0.35296,0.98729,0.99484,0.9745,0.99143,0.83963,0.80016,0.3371,0.97337,0.003895,0.003895,0.003895
150,5517.3,0.65695,0.3536,0.97572,0.99395,0.97475,0.99162,0.83862,0.80014,0.34062,0.96919,0.00385375,0.00385375,0.00385375
151,5553.22,0.65242,0.35293,0.98161,0.99657,0.97475,0.99183,0.83852,0.79815,0.34317,0.96623,0.0038125,0.0038125,0.0038125
152,5589.66,0.6509,0.35439,0.98264,0.99646,0.97475,0.99166,0.83855,0.79501,0.34195,0.96412,0.00377125,0.00377125,0.00377125
153,5625.33,0.6484,0.35191,0.98335,0.99192,0.97475,0.9913,0.83884,0.79617,0.34592,0.9641,0.00373,0.00373,0.00373
154,5662.11,0.65152,0.3462,0.97898,0.98909,0.97475,0.99094,0.83744,0.79803,0.34768,0.96486,0.00368875,0.00368875,0.00368875
155,5697.35,0.6523,0.35142,0.98292,0.98973,0.9738,0.99045,0.8382,0.79883,0.35368,0.96555,0.0036475,0.0036475,0.0036475
156,5733.6,0.65172,0.34917,0.98099,0.98837,0.97475,0.99053,0.8403,0.79819,0.35395,0.96475,0.00360625,0.00360625,0.00360625
157,5769.74,0.64316,0.34061,0.97805,0.98828,0.97475,0.9904,0.8404,0.7991,0.35412,0.9653,0.003565,0.003565,0.003565
158,5806.06,0.64431,0.35003,0.98554,0.98924,0.97475,0.9908,0.84188,0.7985,0.35488,0.96535,0.00352375,0.00352375,0.00352375
159,5842.65,0.64641,0.3513,0.98204,0.98879,0.97475,0.99104,0.84184,0.79835,0.35344,0.96525,0.0034825,0.0034825,0.0034825
160,5877.81,0.64565,0.34764,0.98336,0.98846,0.97475,0.99166,0.84348,0.7988,0.34522,0.96626,0.00344125,0.00344125,0.00344125
161,5913.54,0.64612,0.34457,0.98402,0.98851,0.97475,0.99167,0.84287,0.79872,0.34494,0.96707,0.0034,0.0034,0.0034
162,5949.4,0.6362,0.34261,0.97808,0.98935,0.97475,0.99188,0.84246,0.79936,0.34752,0.96766,0.00335875,0.00335875,0.00335875
163,5985.41,0.63166,0.33687,0.9775,0.98962,0.97475,0.99199,0.84363,0.79908,0.34865,0.96818,0.0033175,0.0033175,0.0033175
164,6021.21,0.64146,0.34506,0.97631,0.98941,0.97475,0.99201,0.84383,0.79944,0.35013,0.96779,0.00327625,0.00327625,0.00327625
